,Author,Text
10,a,"June weather, and he had begun to hope for its selection when the Reverend Byram shied violently at the cross on the Convent opposite.""Jesuits,"" he muttered.""Well,"" said Hastings wearily, ""I imagine we won't find anything better. You say yourself that vice is triumphant in Paris, and it seems to me that in every street we find Jesuits or something worse.""After a moment he repeated, ""Or something worse, which of course I would not notice except for your kindness in warning me.""Dr. Byram sucked in his lips and looked about him. He was impressed by the evident respectability of the surroundings. Then frowning at the Convent he took Hastings' arm and shuffled across the street to an iron gateway which bore the number 201 bis painted in white on a blue ground. Below this was a notice printed in English:Hastings touched the electric button three times, and they were ushered through"
11,a,"with earth and mortar and heaps of stone? He looked up. Written in staring black letters on the barrier wasHe sat down. Two policemen whom he knew came by and advised him to get up, but he argued the question from a standpoint of personal taste, and they passed on, laughing. For he was at that moment absorbed in a problem. It was, how to see Rue Barrée. She was somewhere or other in that big house with the iron balconies, and the door was locked, but what of that? The simple idea struck him to shout until she came. This idea was replaced by another equally lucid,—to hammer on the door until she came; but finally rejecting both of these as too uncertain, he decided to climb into the balcony, and opening a window politely inquire for Rue Barrée. There was but one lighted window in the house that"
12,a,"was impressed by the evident respectability of the surroundings. Then frowning at the Convent he took Hastings' arm and shuffled across the street to an iron gateway which bore the number 201 bis painted in white on a blue ground. Below this was a notice printed in English:Hastings touched the electric button three times, and they were ushered through the garden and into the parlour by a trim maid. The dining-room door, just beyond, was open, and from the table in plain view a stout woman hastily arose and came toward them. Hastings caught a glimpse of a young man with a big head and several snuffy old gentlemen at breakfast, before the door closed and the stout woman waddled into the room, bringing with her an aroma of coffee and a black poodle.""It ees a plaisir to you receive!"" she cried. ""Monsieur is Anglish? No? Americain? Off course. My"
13,a,"the impish head, and then the lean outcast, the shambling Paris tramp, slouching with shoulders bent and little eye furtively scanning the ground for smokers' refuse;—all these moved in a steady stream across the fountain circle and out into the city by the Odeon, whose long arcades were now beginning to flicker with gas-jets. The melancholy bells of St Sulpice struck the hour and the clock-tower of the Palace lighted up. Then hurried steps sounded across the gravel and Hastings raised his head.""How late you are,"" he said, but his voice was hoarse and only his flushed face told how long had seemed the waiting.She said, ""I was kept—indeed, I was so much annoyed—and—and I may only stay a moment.""She sat down beside him, casting a furtive glance over her shoulder at the god upon his pedestal.""What a nuisance, that intruding cupid still there?""""Wings and arrows too,"" said Hastings, unheeding"
14,a,"patch.I started forward to examine it, but she clung to my arm crying, ""Don't, Philip, I am afraid.""""For me?""""For you, Philip,—I love you.""Then I took her in my arms and kissed her on the lips, but all I could say was: ""Jeanne, Jeanne, Jeanne."" And as she lay trembling on my breast, something struck my foot in the grass below, but I did not heed it. Then again something struck my ankle, and a sharp pain shot through me. I looked into the sweet face of Jeanne d'Ys and kissed her, and with all my strength lifted her in my arms and flung her from me. Then bending, I tore the viper from my ankle and set my heel upon its head. I remember feeling weak and numb,—I remember falling to the ground. Through my slowly glazing eyes I saw Jeanne's white face bending close to mine, and when the"
15,a,"and stare at the white marble Death Chamber, and, crossing South Fifth Avenue, walked along the western side of that thoroughfare to Bleecker Street. Then I turned to the right and stopped before a dingy shop which bore the sign:I glanced in at the doorway and saw Hawberk busy in his little shop at the end of the hall. He looked up, and catching sight of me cried in his deep, hearty voice, ""Come in, Mr. Castaigne!"" Constance, his daughter, rose to meet me as I crossed the threshold, and held out her pretty hand, but I saw the blush of disappointment on her cheeks, and knew that it was another Castaigne she had expected, my cousin Louis. I smiled at her confusion and complimented her on the banner she was embroidering from a coloured plate. Old Hawberk sat riveting the worn greaves of some ancient suit of armour, and"
16,a,"born December 19th, 1877,"" I read it with an eager, rapt attention, pausing to repeat parts of it aloud, and dwelling especially on ""Hildred de Calvados, only son of Hildred Castaigne and Edythe Landes Castaigne, first in succession,"" etc., etc.When I finished, Mr. Wilde nodded and coughed.""Speaking of your legitimate ambition,"" he said, ""how do Constance and Louis get along?""""She loves him,"" I replied simply.The cat on his knee suddenly turned and struck at his eyes, and he flung her off and climbed on to the chair opposite me.""And Dr. Archer! But that's a matter you can settle any time you wish,"" he added.""Yes,"" I replied, ""Dr. Archer can wait, but it is time I saw my cousin Louis.""""It is time,"" he repeated. Then he took another ledger from the table and ran over the leaves rapidly. ""We are now in communication with ten thousand men,"" he muttered. ""We can"
17,a,"and he waited until she had finished before re-opening the conversation. When at last she closed her eyes and folded her forepaws under her breast, he began again very gently: ""Puss, tell me your troubles.""At the sound of his voice she broke into a harsh rumbling which he recognized as an attempt to purr. He bent over to rub her cheek and she mewed again, an amiable inquiring little mew, to which he replied, ""Certainly, you are greatly improved, and when you recover your plumage you will be a gorgeous bird."" Much flattered, she stood up and marched around and around his legs, pushing her head between them and making pleased remarks, to which he responded with grave politeness.""Now, what sent you here,"" he said—""here into the Street of the Four Winds, and up five flights to the very door where you would be welcome? What was it that prevented"
18,a,"the parental eye of the General Staff, organized according to the Prussian system, had been increased to 300,000 men, with a territorial reserve of a million; and six magnificent squadrons of cruisers and battle-ships patrolled the six stations of the navigable seas, leaving a steam reserve amply fitted to control home waters. The gentlemen from the West had at last been constrained to acknowledge that a college for the training of diplomats was as necessary as law schools are for the training of barristers; consequently we were no longer represented abroad by incompetent patriots. The nation was prosperous; Chicago, for a moment paralyzed after a second great fire, had risen from its ruins, white and imperial, and more beautiful than the white city which had been built for its plaything in 1893. Everywhere good architecture was replacing bad, and even in New York, a sudden craving for decency had swept"
19,a,"and reread it, and wept and laughed and trembled with a horror which at times assails me yet. This is the thing that troubles me, for I cannot forget Carcosa where black stars hang in the heavens; where the shadows of men's thoughts lengthen in the afternoon, when the twin suns sink into the lake of Hali; and my mind will bear for ever the memory of the Pallid Mask. I pray God will curse the writer, as the writer has cursed the world with this beautiful, stupendous creation, terrible in its simplicity, irresistible in its truth—a world which now trembles before the King in Yellow. When the French Government seized the translated copies which had just arrived in Paris, London, of course, became eager to read it. It is well known how the book spread like an infectious disease, from city to city, from continent to continent, barred out"
20,a,"did so, hoping for a chance to even up accounts, but he gave me none, and I told him I would wait.The fall from my horse had fortunately left no evil results; on the contrary it had changed my whole character for the better. From a lazy young man about town, I had become active, energetic, temperate, and above all—oh, above all else—ambitious. There was only one thing which troubled me, I laughed at my own uneasiness, and yet it troubled me.During my convalescence I had bought and read for the first time, The King in Yellow. I remember after finishing the first act that it occurred to me that I had better stop. I started up and flung the book into the fireplace; the volume struck the barred grate and fell open on the hearth in the firelight. If I had not caught a glimpse of the opening words"
21,a,"at home; talks about the pretty girls who walk alone in the street; says how sensible it is; and how French parents are misrepresented in America; says that for his part he finds French girls,—and he confessed to only knowing one,—as jolly as American girls. I tried to set him right, tried to give him a pointer as to what sort of ladies walk about alone or with students, and he was either too stupid or too innocent to catch on. Then I gave it to him straight, and he said I was a vile-minded fool and marched off.""""Did you assist him with your shoe?"" inquired Bowles, languidly interested.""Well, no.""""He called you a vile-minded fool.""""He was correct,"" said Clifford from his easel in front.""What—what do you mean?"" demanded Laffat, turning red.""That,"" replied Clifford.""Who spoke to you? Is this your business?"" sneered Bowles, but nearly lost his balance as Clifford swung"
22,a,"drew her to him and kissed the half-parted lips, and she cried out, a bitter, hopeless cry, ""Not that—not that!""But he held her close and strong, whispering words of honest love and passion, and when she sobbed—""Not that—not that—I have promised! You must—you must know—I am—not—worthy—"" In the purity of his own heart her words were, to him, meaningless then, meaningless for ever after. Presently her voice ceased, and her head rested on his breast. He leaned against the window, his ears swept by the furious wind, his heart in a joyous tumult. The forest was passed, and the sun slipped from behind the trees, flooding the earth again with brightness. She raised her eyes and looked out into the world from the window. Then she began to speak, but her voice was faint, and he bent his head close to hers and listened. ""I cannot turn from you; I"
23,a,"by ringing at certain small doors on the side. The sunken pavement collects unsavoury pools. Steep stairways pitch down to doors that open on the court. The ground floors are occupied by shops of second-hand dealers, and by iron workers. All day long the place rings with the clink of hammers and the clang of metal bars.Unsavoury as it is below, there is cheerfulness, and comfort, and hard, honest work above.Five flights up are the ateliers of architects and painters, and the hiding-places of middle-aged students like myself who want to live alone. When I first came here to live I was young, and not alone.I had to walk a while before any conveyance appeared, but at last, when I had almost reached the Arc de Triomphe again, an empty cab came along and I took it.From the Arc to the Rue de Rennes is a drive of more than"
24,a,"whom you have toddled and will, in all human probabilities, continue to toddle, I say, if I were Cécile I'd spank you! Now I'm going to Boulant's, and as usual I shall make excuses for you and arrange the affair, and I don't care a continental where you are going, but, by the skull of the studio skeleton! if you don't turn up to-morrow with your sketching-kit under one arm and Cécile under the other,—if you don't turn up in good shape, I'm done with you, and the rest can think what they please. Good-night.""Clifford said good-night with as pleasant a smile as he could muster, and then sat down with his eyes on the door. He took out his watch and gave Elliott ten minutes to vanish, then rang the concierge's call, murmuring, ""Oh dear, oh dear, why the devil do I do it?""""Alfred,"" he said, as that gimlet-eyed"
25,a,"out with the honours of war.""Trent shook his head.""I forgot to say that Hartman often dines there, and I draw my own conclusions,"" continued West. ""Now about this chicken, half of it is for Braith and myself, and half for Colette, but of course you will help me eat my part because I'm not hungry.""""Neither am I,"" began Braith, but Trent, with a smile at the pinched faces before him, shook his head saying, ""What nonsense! You know I'm never hungry!""West hesitated, reddened, and then slicing off Braith's portion, but not eating any himself, said good-night, and hurried away to number 470 rue Serpente, where lived a pretty girl named Colette, orphan after Sedan, and Heaven alone knew where she got the roses in her cheeks, for the siege came hard on the poor.""That chicken will delight her, but I really believe she's in love with West,"" said Trent. Then"
26,a,"to read this manuscript from beginning to end, without asking me a question. Promise me to read these notes in the same way, and promise me to listen to what I have to tell later.""""I promise, if you wish it,"" he said pleasantly. ""Give me the paper, Hildred.""He began to read, raising his eyebrows with a puzzled, whimsical air, which made me tremble with suppressed anger. As he advanced his, eyebrows contracted, and his lips seemed to form the word ""rubbish.""Then he looked slightly bored, but apparently for my sake read, with an attempt at interest, which presently ceased to be an effort. He started when in the closely written pages he came to his own name, and when he came to mine he lowered the paper, and looked sharply at me for a moment. But he kept his word, and resumed his reading, and I let the half-formed question"
27,a,"drove the hearse.""""Nonsense,"" I said, but Tessie's eyes were wide with terror. I went to the window and looked out. The man was gone. ""Come, Tessie,"" I urged, ""don't be foolish. You have posed too long; you are nervous.""""Do you think I could forget that face?"" she murmured. ""Three times I saw the hearse pass below my window, and every time the driver turned and looked up at me. Oh, his face was so white and—and soft? It looked dead—it looked as if it had been dead a long time.""I induced the girl to sit down and swallow a glass of Marsala. Then I sat down beside her, and tried to give her some advice.""Look here, Tessie,"" I said, ""you go to the country for a week or two, and you'll have no more dreams about hearses. You pose all day, and when night comes your nerves are upset. You"
28,a,"ruin your brushes! You have been three weeks on that study, and now look! What's the good of ripping the canvas? What creatures artists are!""I felt about as much ashamed as I usually did after such an outbreak, and I turned the ruined canvas to the wall. Tessie helped me clean my brushes, and then danced away to dress. From the screen she regaled me with bits of advice concerning whole or partial loss of temper, until, thinking, perhaps, I had been tormented sufficiently, she came out to implore me to button her waist where she could not reach it on the shoulder.""Everything went wrong from the time you came back from the window and talked about that horrid-looking man you saw in the churchyard,"" she announced.""Yes, he probably bewitched the picture,"" I said, yawning. I looked at my watch.""It's after six, I know,"" said Tessie, adjusting her hat before"
29,a,"and perfumed, the sunshine so caressing, and her heart sang within her, sang to the rose in her breast. This is what it sang: ""Out of the throng of passers-by, out of the world of yesterday, out of the millions passing, one has turned aside to me.""So her heart sang under his rose on her breast. Then two big mouse-coloured pigeons came whistling by and alighted on the terrace, where they bowed and strutted and bobbed and turned until Rue Barrée laughed in delight, and looking up beheld Clifford before her. His hat was in his hand and his face was wreathed in a series of appealing smiles which would have touched the heart of a Bengal tiger.For an instant Rue Barrée frowned, then she looked curiously at Clifford, then when she saw the resemblance between his bows and the bobbing pigeons, in spite of herself, her lips parted in"
30,a,"have managed to put my foot in it in great style. Do you know what I've done? Well—the first time I met him in the street,—or rather, it was in the Luxembourg, I introduced him to Valentine!""""Did he object?""""Believe me,"" said Clifford, solemnly, ""this rustic Hastings has no more idea that Valentine is—is—in fact is Valentine, than he has that he himself is a beautiful example of moral decency in a Quarter where morals are as rare as elephants. I heard enough in a conversation between that blackguard Loffat and the little immoral eruption, Bowles, to open my eyes. I tell you Hastings is a trump! He's a healthy, clean-minded young fellow, bred in a small country village, brought up with the idea that saloons are way-stations to hell—and as for women—""""Well?"" demanded Elliott""Well,"" said Clifford, ""his idea of the dangerous woman is probably a painted Jezabel.""""Probably,"" replied the other.""He's"
31,a,"frozen slush. Trent was frightened. He began to dread the unknown, which lay there crackling and flaming in obscurity. The shock of the cannon sickened him. He could even see the fog light up with a dull orange as the thunder shook the earth. It was near, he felt certain, for the colonel shouted ""Forward!"" and the first battalion was hastening into it. He felt its breath, he trembled, but hurried on. A fearful discharge in front terrified him. Somewhere in the fog men were cheering, and the colonel's horse, streaming with blood plunged about in the smoke.Another blast and shock, right in his face, almost stunned him, and he faltered. All the men to the right were down. His head swam; the fog and smoke stupefied him. He put out his hand for a support and caught something. It was the wheel of a gun-carriage, and a man sprang"
32,a,"before she would let me in (she was more like a basilisk, I told myself, than was my organist with the anaemic complexion): from that grim old dame, to, yes, alas! Monseigneur C—— himself. For all devoutness had fled. I had never yet done such a thing in my life, but now I felt a desire to mock.As for the sermon, I could not hear a word of it for the jingle in my ears ofIt was no use to sit there any longer: I must get out of doors and shake myself free from this hateful mood. I knew the rudeness I was committing, but still I rose and left the church.A spring sun was shining on the Rue St. Honoré, as I ran down the church steps. On one corner stood a barrow full of yellow jonquils, pale violets from the Riviera, dark Russian violets, and white Roman"
33,a,"a rose in her corsage. The rose was big and red. It glowed like fire there over her heart, and like fire it warmed her heart, now fluttering under the silken petals. Rue Barrée sighed again. She was very happy. The sky was so blue, the air so soft and perfumed, the sunshine so caressing, and her heart sang within her, sang to the rose in her breast. This is what it sang: ""Out of the throng of passers-by, out of the world of yesterday, out of the millions passing, one has turned aside to me.""So her heart sang under his rose on her breast. Then two big mouse-coloured pigeons came whistling by and alighted on the terrace, where they bowed and strutted and bobbed and turned until Rue Barrée laughed in delight, and looking up beheld Clifford before her. His hat was in his hand and his face was"
34,a,"are very welcome, indeed you are welcome to the Château d'Ys.""I awoke next morning with the music of the horn in my ears, and leaping out of the ancient bed, went to a curtained window where the sunlight filtered through little deep-set panes. The horn ceased as I looked into the court below.A man who might have been brother to the two falconers of the night before stood in the midst of a pack of hounds. A curved horn was strapped over his back, and in his hand he held a long-lashed whip. The dogs whined and yelped, dancing around him in anticipation; there was the stamp of horses, too, in the walled yard.""Mount!"" cried a voice in Breton, and with a clatter of hoofs the two falconers, with falcons upon their wrists, rode into the courtyard among the hounds. Then I heard another voice which sent the blood throbbing"
35,a,"which Geneviève had sat, had been the sensation of last year's Salon. I looked at the Ariadne. It was a magnificent piece of technical work, but I agreed with Boris that the world would expect something better of him than that. Still, it was impossible now to think of finishing in time for the Salon that splendid terrible group half shrouded in the marble behind me. The ""Fates"" would have to wait.We were proud of Boris Yvain. We claimed him and he claimed us on the strength of his having been born in America, although his father was French and his mother was a Russian. Every one in the Beaux Arts called him Boris. And yet there were only two of us whom he addressed in the same familiar way—Jack Scott and myself.Perhaps my being in love with Geneviève had something to do with his affection for me. Not that"
36,a,"while the manuals blared approval. Poor devil! whoever he was, there seemed small hope of escape!My nervous annoyance changed to anger. Who was doing this? How dare he play like that in the midst of divine service? I glanced at the people near me: not one appeared to be in the least disturbed. The placid brows of the kneeling nuns, still turned towards the altar, lost none of their devout abstraction under the pale shadow of their white head-dress. The fashionable lady beside me was looking expectantly at Monseigneur C——. For all her face betrayed, the organ might have been singing an Ave Maria.But now, at last, the preacher had made the sign of the cross, and commanded silence. I turned to him gladly. Thus far I had not found the rest I had counted on when I entered St. Barnabé that afternoon.I was worn out by three nights of"
37,a,"wrists, sir, and when I twisted 'is soft, mushy fist one of 'is fingers come off in me 'and.""The utter loathing and horror of Thomas' face must have been reflected in my own, for he added:""It's orful, an' now when I see 'im I just go away. 'E maikes me hill.""When Thomas had gone I went to the window. The man stood beside the church-railing with both hands on the gate, but I hastily retreated to my easel again, sickened and horrified, for I saw that the middle finger of his right hand was missing.At nine o'clock Tessie appeared and vanished behind the screen with a merry ""Good morning, Mr. Scott."" When she had reappeared and taken her pose upon the model-stand I started a new canvas, much to her delight. She remained silent as long as I was on the drawing, but as soon as the scrape of the"
38,a,"the open door, the friendly old ruinous stairs rose before me, leading up to rest and shelter. Looking back over my right shoulder, I saw him, ten paces off. He must have entered the court with me.He was coming straight on, neither slowly, nor swiftly, but straight on to me. And now he was looking at me. For the first time since our eyes encountered across the church they met now again, and I knew that the time had come.Retreating backward, down the court, I faced him. I meant to escape by the entrance on the Rue du Dragon. His eyes told me that I never should escape.It seemed ages while we were going, I retreating, he advancing, down the court in perfect silence; but at last I felt the shadow of the archway, and the next step brought me within it. I had meant to turn here and spring"
39,a,"rock lighted a pipe. Then I looked at my watch. It was nearly four o'clock. I might have wandered far from Kerselec since daybreak.Standing the day before on the cliffs below Kerselec with Goulven, looking out over the sombre moors among which I had now lost my way, these downs had appeared to me level as a meadow, stretching to the horizon, and although I knew how deceptive is distance, I could not realize that what from Kerselec seemed to be mere grassy hollows were great valleys covered with gorse and heather, and what looked like scattered boulders were in reality enormous cliffs of granite.""It's a bad place for a stranger,"" old Goulven had said: ""you'd better take a guide;"" and I had replied, ""I shall not lose myself."" Now I knew that I had lost myself, as I sat there smoking, with the sea-wind blowing in my face. On"
40,a,"was not awake. I seemed to be lying in a box which had a glass cover. Dimly I saw the street lamps as I passed, for I must tell you, Tessie, the box in which I reclined appeared to lie in a cushioned wagon which jolted me over a stony pavement. After a while I became impatient and tried to move, but the box was too narrow. My hands were crossed on my breast, so I could not raise them to help myself. I listened and then tried to call. My voice was gone. I could hear the trample of the horses attached to the wagon, and even the breathing of the driver. Then another sound broke upon my ears like the raising of a window sash. I managed to turn my head a little, and found I could look, not only through the glass cover of my box, but"
41,a,"over the threshold. Then she lifted her voice in a thin plaint.When Severn returned he looked grave, but the cat, joyous and demonstrative, marched around him, rubbing her gaunt body against his legs, driving her head enthusiastically into his hand, and purring until her voice mounted to a squeal.He placed a bit of meat, wrapped in brown paper, upon the table, and with a penknife cut it into shreds. The milk he took from a bottle which had served for medicine, and poured it into the saucer on the hearth.The cat crouched before it, purring and lapping at the same time.He cooked his egg and ate it with a slice of bread, watching her busy with the shredded meat, and when he had finished, and had filled and emptied a cup of water from the bucket in the sink, he sat down, taking her into his lap, where she at"
42,a,"that open on the court. The ground floors are occupied by shops of second-hand dealers, and by iron workers. All day long the place rings with the clink of hammers and the clang of metal bars.Unsavoury as it is below, there is cheerfulness, and comfort, and hard, honest work above.Five flights up are the ateliers of architects and painters, and the hiding-places of middle-aged students like myself who want to live alone. When I first came here to live I was young, and not alone.I had to walk a while before any conveyance appeared, but at last, when I had almost reached the Arc de Triomphe again, an empty cab came along and I took it.From the Arc to the Rue de Rennes is a drive of more than half an hour, especially when one is conveyed by a tired cab horse that has been at the mercy of Sunday"
43,a,"Henner, and Constant and Laurens, and Puvis de Chavannes and Dagnan and Courtois, and—and all the rest of them!""""And yet you say you are not an artist.""""Pardon,"" she said gravely, ""did I say I was not?""""Won't you tell me?"" he hesitated.At first she looked at him, shaking her head and smiling, then of a sudden her eyes fell and she began tracing figures with her parasol in the gravel at her feet. Hastings had taken a place on the seat, and now, with his elbows on his knees, sat watching the spray drifting above the fountain jet. A small boy, dressed as a sailor, stood poking his yacht and crying, ""I won't go home! I won't go home!"" His nurse raised her hands to Heaven.""Just like a little American boy,"" thought Hastings, and a pang of homesickness shot through him.Presently the nurse captured the boat, and the small boy stood"
44,a,"the fever tortured her, her heart poured out its load of hidden sorrow. Amazed and dumb I bowed my head, while my face burned like a live coal, and the blood surged in my ears, stupefying me with its clamour. Incapable of movement, incapable of speech, I listened to her feverish words in an agony of shame and sorrow. I could not silence her, I could not look at Boris. Then I felt an arm upon my shoulder, and Boris turned a bloodless face to mine.""It is not your fault, Alec; don't grieve so if she loves you—"" but he could not finish; and as the doctor stepped swiftly into the room, saying—""Ah, the fever!"" I seized Jack Scott and hurried him to the street, saying, ""Boris would rather be alone."" We crossed the street to our own apartments, and that night, seeing I was going to be ill too,"
45,a,"sunshine, and nurse girls wheeled elaborate baby carriages with a reckless disregard for the pasty-faced occupants, which could probably be explained by the presence of half a dozen trim dragoon troopers languidly lolling on the benches. Through the trees, the Washington Memorial Arch glistened like silver in the sunshine, and beyond, on the eastern extremity of the square the grey stone barracks of the dragoons, and the white granite artillery stables were alive with colour and motion.I looked at the Lethal Chamber on the corner of the square opposite. A few curious people still lingered about the gilded iron railing, but inside the grounds the paths were deserted. I watched the fountains ripple and sparkle; the sparrows had already found this new bathing nook, and the basins were covered with the dusty-feathered little things. Two or three white peacocks picked their way across the lawns, and a drab coloured pigeon"
46,a,"and fragile and filled the air with perfume.Then suddenly I comprehended, and sprang through the hallway to the marble room. The doors flew open, the sunlight streamed into my face, and through it, in a heavenly glory, the Madonna smiled, as Geneviève lifted her flushed face from her marble couch and opened her sleepy eyes.In the Church of St. Barnabé vespers were over; the clergy left the altar; the little choir-boys flocked across the chancel and settled in the stalls. A Suisse in rich uniform marched down the south aisle, sounding his staff at every fourth step on the stone pavement; behind him came that eloquent preacher and good man, Monseigneur C——.My chair was near the chancel rail, I now turned toward the west end of the church. The other people between the altar and the pulpit turned too. There was a little scraping and rustling while the congregation seated"
